rcid,mean_beta,q025,q975
3879,0.03829138956330909,-0.07307179470869532,0.14988460375155843
3897,-2.6676657186858717,-3.977276699053511,-1.6178530269314013
3898,-2.734460225762514,-3.8350207957596902,-1.7546188503798978
3899,-2.9575871376586402,-4.193022566044048,-1.8286505827415014
3900,-2.7306314017720528,-3.821715962432239,-1.8429029159657722
3901,-2.7228406589630425,-3.9248460543382504,-1.8505202366246076
3902,-2.9182014435663284,-4.128695543568403,-1.8513886070829675
3903,-2.8053136287142553,-3.863372756636031,-1.9230359808635704
3904,-2.7491529319555075,-3.9574653826586403,-1.8548932726768026
3905,-2.8062051177062473,-3.8383862376019584,-1.9443105441586217
3906,-2.770693595760994,-3.8500567903785248,-1.7436375147827632
3907,-2.7721972338344956,-3.997866921014694,-1.8054611407483705
3908,-2.771013610801542,-3.8460924899408804,-1.6801729280681412
3909,-2.7616241913918627,-3.7958543724455747,-1.8439591488868898
3941,-0.5641152491755954,-0.7576434117021734,-0.369325484887629
3948,-1.198243989422397,-1.6632576632334726,-0.7946610080721955
3949,-0.6010778916005414,-0.8698377539988827,-0.37245729218536605
3951,-1.402006965878766,-2.210618836410495,-0.785794824109919
3954,0.1068576743853503,-0.005706460522057055,0.22920302423115307
3955,0.4705278994684403,0.3337598917060279,0.64063750455833
3957,0.2654337221814095,0.15084848225372485,0.3858930136222
3958,-0.09758979615959915,-0.25487776696877396,0.08315888559171435
3959,0.4246072331769596,0.27795388880503064,0.5776335109626131
3960,0.4605894373890127,0.298657935455784,0.6255699867632363
3961,0.33718774591737777,0.2041267010445331,0.4919989929435204
3962,-0.0017013275029711262,-0.14214648305444236,0.12949371204189186
3964,-0.3690470885269514,-0.588894137188415,-0.18149290376971813
3966,-0.69455993448765,-0.9422447456038461,-0.4750838399459073
3973,0.023778378567922323,-0.12100643509163746,0.1307141771964252
3989,-0.9463399076176399,-1.3036340291126065,-0.6481091791852358
3994,-0.08981743234766554,-0.26431534730558726,0.04524353800394505
4001,-0.8962891316930103,-1.3346648876231448,-0.5031062581397191
4006,0.27661888080183483,0.1530763672296654,0.4135843666712201
4007,0.4761394471082126,0.3218586578779257,0.6195481851955599
4010,0.42644320551735354,0.29009258264619275,0.5867141172358723
4011,0.44561884656209516,0.310950352107536,0.6061549986883424
4012,0.02571177506905528,-0.11406599261323819,0.13482069395921717
4039,-0.40676479468988136,-0.6385034611710642,-0.22551100060938645
4040,-0.016442980698530826,-0.1443265299961098,0.11019342945159251
4052,-0.009156799679444527,-0.1405797302673436,0.11386390888340847
4088,-0.9285341251464042,-1.4367540250143076,-0.5568507944711091
4092,0.101261760106512,0.005023964993721437,0.19352104493095199
4095,-1.3848024088367112,-1.9296041872848977,-0.9824648810957145
4097,0.43085890498505663,0.284292090480807,0.601407227691241
4098,0.3240234723338525,0.19487944645991326,0.4461752038214638
4099,0.4713705242922016,0.32016416035322354,0.6376629371945367
4102,0.04393692441557261,-0.05667585731750549,0.15064518561106957
4104,-0.9219373702488987,-1.2200532768760883,-0.5825309564108785
